Neighborhood,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),ratio_steam,ratio_electricity,ratio_gas,flag_datacenter,flag_laboratory,flag_office,flag_downtown,flag_greatduw,flag_lakeu,outlier
8,8,41198,26,41198.0,7768057.5,0.0,0.9206761149746896,0.0793238206591545,False,False,False,False,False,False,False
6,1,20993,18,20983.0,923812.8125,0.0,0.8614613147076264,0.107069309563186,False,False,False,False,True,False,False
2,0,40265,44,40265.0,2159170.25,0.0,0.6352917283850127,0.3647081558297684,False,False,False,False,False,False,False
5,4,58779,9,58779.0,5000717.0,0.0,0.7437367481503152,0.0,False,False,False,False,False,False,False
5,6,203030,9,203030.0,51168308.0,0.0,0.5592253118864122,0.0,False,False,False,False,False,False,True
4,6,427181,11,427181.0,16371039.0,0.0,0.8681818545542528,0.13181802327879127,False,False,True,False,False,True,True
2,4,87576,12,87576.0,940844.6875,0.0,0.9227474114849589,0.07725292066337995,False,False,False,False,False,False,False
5,3,33648,21,83600.0,1399581.625,0.0,1.000000267937213,0.0,False,False,False,False,False,False,False
7,10,513816,11,359040.0,18760766.0,0.0,0.9036469513025215,0.09635294209202332,False,False,True,False,False,False,True
4,12,317442,11,341897.0,12720069.0,0.0,0.9003856818701219,0.09961416089802658,False,False,True,False,False,True,True
7,2,25532,11,11745.0,627854.125,0.0,0.9999998009091682,0.0,False,False,True,False,False,False,False
6,2,108036,21,202171.0,4991893.5,0.0,0.7517259733205446,0.24827392651706212,False,False,False,False,True,False,False
4,12,317189,11,342173.0,13998638.0,0.0,0.8381542547210664,0.16184567384341247,False,False,True,False,False,True,True
4,13,339038,11,342838.0,13239050.0,0.0,0.7497342331964907,0.250265615735268,False,False,True,False,False,True,True
6,1,47863,13,52085.0,3605855.5,0.0,0.20322583642078834,0.7967740249158626,False,False,False,False,True,False,False
6,2,24990,11,24990.0,4420650.5,0.0,0.4902059097411116,0.5097939771533624,False,False,True,False,True,False,False
5,1,72000,32,72000.0,2925780.0,0.0,0.6499531748798612,0.3500468251201389,False,False,False,False,False,False,False
6,3,45000,8,45728.0,1325972.75,0.0,1.0000001885408278,0.0,False,False,False,False,True,False,False
4,6,260262,25,151523.0,39364116.0,0.0,0.6004657643016802,0.39953413408292976,False,True,False,False,False,True,True
5,1,68072,9,68916.0,3180819.25,0.0,0.9999999214038962,0.0,False,False,False,False,False,False,False
3,1,20616,32,9900.0,636965.5,0.0,0.9999999813176694,0.0,False,False,False,False,False,False,False
8,1,16795,32,8680.0,936616.5,0.0,0.5788221604039647,0.42117769909028935,False,False,False,False,False,False,False
8,1,12769,32,10912.0,5117308.5,0.0,0.23550921583093923,0.7644907779157735,False,False,False,False,False,False,False
7,1,13661,11,13661.0,502667.6875,0.0,1.0000001879969658,0.0,False,False,True,False,False,False,False
10,1,23445,32,23445.0,5976246.0,0.0,0.21098024411980365,0.789019692462459,False,False,False,False,False,False,False
11,1,20050,32,8108.0,1813404.0,0.0,0.42431420406043,0.5756858780503407,False,False,False,False,False,False,False
2,1,15398,11,15398.0,387810.0,0.0,0.7156516116139346,0.2843480003094299,False,False,True,False,False,False,False
12,1,18261,32,18261.0,932082.125,0.0,0.6784402255327019,0.32155964271925075,False,False,False,False,False,False,False
6,1,12294,11,12294.0,849745.6875,0.0,0.6169738401879209,0.3830263915284654,False,False,True,False,True,False,False
1,1,16000,32,16000.0,950276.1875,0.0,0.4172955791339347,0.5827042577555906,False,False,False,True,False,False,False
7,1,13157,32,7583.0,5765898.0,0.0,0.3108204061188734,0.689179562836526,False,False,False,False,False,False,False
6,1,14101,32,6601.0,719471.1875,0.0,0.4848980502085776,0.5151019351973702,False,False,False,False,True,False,False
6,1,18258,32,8271.0,1152896.25,0.0,0.3751892223606417,0.6248107687053367,False,False,False,False,True,False,False
